"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 10 07:52:00 GMT 2022","Fri Jun 10 07:52:07 GMT 2022","7579","Chrome Stable","petTests.spec.ts","Check pet functionality","","","Edit pet",""
"failed","Fri Jun 10 07:51:16 GMT 2022","Fri Jun 10 07:51:47 GMT 2022","31855","Chrome Stable","ownerTests.spec.ts","Check owner functionality","","","Update owner",""
"failed","Fri Jun 10 07:52:11 GMT 2022","Fri Jun 10 07:52:17 GMT 2022","6689","Chrome Stable","petTests.spec.ts","Check pet functionality","","","Delete pet",""
"skipped","Fri Jun 10 07:52:09 GMT 2022","Fri Jun 10 07:52:09 GMT 2022","0","Chrome Stable","snapshots/petPagesComparison.spec.ts","Check owner functionality","","","Edit pet",""
"skipped","Fri Jun 10 07:51:58 GMT 2022","Fri Jun 10 07:51:58 GMT 2022","0","Chrome Stable","snapshots/ownerPagesComparison.spec.ts","Check owner functionality","","","Owner details",""
"failed","Fri Jun 10 07:51:58 GMT 2022","Fri Jun 10 07:51:58 GMT 2022","2","Chrome Stable","snapshots/ownerPagesComparison.spec.ts","Check owner functionality","","","Home",""
"skipped","Fri Jun 10 07:51:58 GMT 2022","Fri Jun 10 07:51:58 GMT 2022","1","Chrome Stable","snapshots/ownerPagesComparison.spec.ts","Check owner functionality","","","Owner list",""
"failed","Fri Jun 10 07:51:50 GMT 2022","Fri Jun 10 07:51:56 GMT 2022","6800","Chrome Stable","petTests.spec.ts","Check pet functionality","","","Create pet",""
"failed","Fri Jun 10 07:52:09 GMT 2022","Fri Jun 10 07:52:09 GMT 2022","1","Chrome Stable","snapshots/petPagesComparison.spec.ts","Check owner functionality","","","Create pet",""
"skipped","Fri Jun 10 07:51:58 GMT 2022","Fri Jun 10 07:51:58 GMT 2022","2","Chrome Stable","snapshots/ownerPagesComparison.spec.ts","Check owner functionality","","","Create owner",""
"passed","Fri Jun 10 07:51:08 GMT 2022","Fri Jun 10 07:51:16 GMT 2022","7327","Chrome Stable","ownerTests.spec.ts","Check owner functionality","","","Create owner",""
"skipped","Fri Jun 10 07:51:58 GMT 2022","Fri Jun 10 07:51:58 GMT 2022","1","Chrome Stable","snapshots/ownerPagesComparison.spec.ts","Check owner functionality","","","Edit owner",""
